location,fault_severity,et,nbet,rt,nbrt,st,lf,nblf,svol,volmoy,volsd
l272,1,e34xe35,2,r2,1,s2,f232xf233xf312xf313xf315,5,5,1,0
l707,0,e15,1,r8,1,s2,f193xf71,2,10,5,1.4142135623731
l950,0,e11,1,r8,1,s1,f207,1,1,1,0
l130,1,e34xe35,2,r2,1,s2,f232xf312,2,4,2,0
l87,1,e10xe28,2,r3xr9,2,s1,f127xf154xf212xf39,4,5,1.25,0.5
l239,0,e35,1,r2,1,s4,f312,1,1,1,0
l263,1,e11xe34xe35,3,r2xr8,2,s1,f160xf211xf232xf312xf44xf94,6,9,1.5,0.836660026534076
l478,0,e11xe34xe35,3,r2xr8,2,s1,f160xf211xf227xf229xf232xf307xf309xf312xf44xf94,10,17,1.7,0.823272602348565
l995,2,e11xe15,2,r8,1,s1,f105xf172xf193xf203xf56xf71xf82,7,439,62.7142857142857,101.98646035253
l794,0,e11xe14xe23,3,r4xr7xr8,3,s1,f163xf306xf47,3,10,3.33333333333333,1.15470053837925
l644,1,e46xe47,2,r2,1,s1,f284xf285,2,416,208,1.4142135623731
l498,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,5,1.25,0.5
l798,2,e15,1,r8,1,s2,f203xf82,2,45,22.5,2.12132034355964
l696,0,e11,1,r8,1,s2,f170xf54,2,27,13.5,6.36396103067893
l704,1,e15,1,r8,1,s2,f203xf82,2,10,5,4.24264068711928
l285,0,e34,1,r2,1,s2,f227xf232,2,2,1,0
l808,0,e11xe15,2,r8,1,s1,f193xf71,2,7,3.5,3.53553390593274
l1017,1,e11,1,r8,1,s1,f170xf54,2,2,1,0
l737,1,e11,1,r8,1,s2,f157xf42,2,4,2,0
l1024,0,e11,1,r8,1,s1,f195xf73,2,72,36,7.07106781186548
l443,1,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l485,0,e34xe35,2,r2,1,s2,f232xf235xf312xf314xf315,5,20,4,3.67423461417477
l12,0,e15,1,r8,1,s2,f178xf68,2,2,1,0
l1014,1,e11xe13xe14,3,r4xr6xr8,3,s1,f209xf273xf345xf54xf87,5,15,3,1.22474487139159
l616,0,e11xe24,2,r2xr8,2,s1,f171xf239xf318xf55,4,10,2.5,1.73205080756888
l962,2,e11xe15,2,r8,1,s1,f203xf82,2,16,8,0
l344,0,e34xe35,2,r2,1,s2,f232xf312,2,24,12,0
l760,1,e11xe54,2,r2xr8,2,s1,f170xf54,2,16,8,2.82842712474619
l479,0,e34xe35,2,r2,1,s2,f234xf314,2,59,29.5,6.36396103067893
l842,0,e11,1,r8,1,s1,f171xf55,2,37,18.5,3.53553390593274
l891,0,e11,1,r8,1,s1,f195xf73,2,76,38,1.4142135623731
l734,0,e11xe15,2,r8,1,s1,f193xf203xf71xf80xf82,5,12,2.4,2.07364413533277
l802,0,e11xe13,2,r6xr8,2,s1,f345xf68,2,2,1,0
l124,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,14,2.33333333333333,1.36626010212795
l684,2,e15,1,r8,1,s2,f203xf82,2,34,17,15.556349186104
l1100,2,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,78,19.5,21.4242852856285
l830,0,e11,1,r8,1,s1,f170xf54,2,197,98.5,13.4350288425444
l497,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,377,94.25,44.8803966114383
l189,0,e35,1,r2,1,s4,f307xf312xf94,3,3,1,0
l931,0,e15,1,r8,1,s2,f201xf203xf80xf82,4,26,6.5,4.93288286231625
l615,0,e11xe20,2,r2xr8,2,s1,f134xf219xf55,3,4,1.33333333333333,0.577350269189626
l957,0,e11,1,r8,1,s2,f171xf55,2,3,1.5,0.707106781186548
l823,1,e11,1,r8,1,s1,f201xf80,2,2,1,0
l471,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,226,56.5,64.9230313525177
l133,0,e34xe35,2,r2,1,s2,f233xf235xf313xf315,4,8,2,0.816496580927726
l613,2,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,26,6.5,6.557438524302
l1019,0,e15,1,r8,1,s2,f203xf82,2,44,22,25.4558441227157
l337,0,e35,1,r2,1,s4,f312,1,1,1,0
l1025,0,e11,1,r8,1,s1,f188xf66,2,10,5,0
l234,1,e34xe35,2,r2,1,s2,f227xf232xf233xf307xf312xf313,6,87,14.5,18.5983870268365
l380,0,e34xe35,2,r2,1,s2,f232xf312,2,6,3,0
l496,0,e34xe35,2,r2,1,s2,f227xf232xf233xf234xf307xf309xf312xf313xf314xf315,10,433,43.3,51.3529183418257
l851,0,e13xe18,2,r10xr6,2,s1,f273xf322xf345,3,5,1.66666666666667,0.577350269189626
l518,0,e34xe35,2,r2,1,s2,f233xf235xf313xf315,4,47,11.75,8.99536917900909
l819,0,e11,1,r8,1,s4,f54,1,1,1,0
l1008,1,e15,1,r8,1,s2,f203xf80xf82,3,13,4.33333333333333,4.16333199893227
l506,0,e34xe35,2,r2,1,s2,f228xf229xf232xf234xf236xf308xf309xf311xf312xf314xf315xf316,12,339,28.25,29.4220850877209
l979,0,e11,1,r8,1,s1,f195xf73,2,2,1,0
l779,2,e15,1,r8,1,s2,f203xf80xf82,3,49,16.3333333333333,24.0069434400411
l1031,1,e11xe20,2,r2xr8,2,s1,f134xf170xf219xf68,4,4,1,0
l469,0,e34xe35,2,r2,1,s2,f228xf230xf232xf233xf235xf308xf310xf312xf313xf314xf315,11,212,19.2727272727273,12.8848042987925
l826,1,e11xe13,2,r6xr8,2,s1,f273xf68,2,8,4,0
l906,2,e11,1,r8,1,s2,f202xf81,2,8,4,0
l500,0,e34,1,r2,1,s2,f232,1,1,1,0
l102,0,e34xe35,2,r2,1,s2,f227xf228xf229xf230xf232xf235xf307xf308xf309xf310xf312xf315,12,20,1.66666666666667,1.15470053837925
l707,0,e11xe15,2,r8,1,s1,f193,1,2,2,0
l560,1,e11,1,r8,1,s1,f171xf55,2,24,12,1.4142135623731
l1008,0,e15,1,r8,1,s2,f201xf80xf82,3,4,1.33333333333333,0.577350269189626
l1117,0,e11,1,r8,1,s2,f55,1,2,2,0
l389,0,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l124,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,28,4.66666666666667,1.03279555898864
l476,0,e11,1,r8,1,s2,f44,1,1,1,0
l1042,0,e15,1,r8,1,s2,f203xf82,2,62,31,41.0121933088198
l74,0,e10xe11,2,r3xr8,2,s2,f154xf35xf39xf55,4,6,1.5,0.577350269189626
l8,0,e11,1,r8,1,s2,f56,1,1,1,0
l91,0,e34xe35,2,r2,1,s2,f235xf315,2,143,71.5,38.8908729652601
l288,1,e11xe34xe35,3,r2xr8,2,s1,f160xf232xf307xf312xf44xf94,6,10,1.66666666666667,0.816496580927726
l1019,2,e15,1,r8,1,s2,f203xf82,2,94,47,35.3553390593274
l504,0,e34xe35,2,r2,1,s2,f232xf312,2,22,11,1.4142135623731
l425,0,e35,1,r2,1,s4,f94,1,1,1,0
l260,1,e20xe35,2,r2,1,s1,f134xf219xf301,3,6,2,0
l255,0,e34xe35,2,r2,1,s2,f232xf312,2,35,17.5,0.707106781186548
l1026,1,e5,1,r1,1,s1,f8,1,1,1,0
l1049,0,e11,1,r8,1,s1,f171xf55,2,2,1,0
l282,1,e34xe35,2,r2,1,s2,f232xf312,2,4,2,0
l805,0,e11xe20,2,r2xr8,2,s1,f134xf191xf70,3,6,2,1.73205080756888
l465,0,e34xe35,2,r2,1,s2,f232xf312,2,97,48.5,4.94974746830583
l128,0,e34xe35,2,r2,1,s2,f227xf232xf233xf307xf312xf313,6,16,2.66666666666667,0.516397779494322
l477,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314,6,152,25.3333333333333,21.0681434081569
l714,0,e11xe13,2,r6xr8,2,s1,f179xf273xf345xf68,4,10,2.5,1.29099444873581
l1042,0,e15,1,r8,1,s2,f203xf82,2,13,6.5,7.77817459305202
l389,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,6,1.5,0.577350269189626
l906,0,e11,1,r8,1,s2,f202xf81,2,4,2,0
l484,0,e34xe35,2,r2,1,s2,f230xf232xf235xf310xf312,5,39,7.8,8.52642949891688
l844,1,e11,1,r8,1,s1,f170xf206xf54xf68xf85,5,12,2.4,1.67332005306815
l485,0,e35,1,r2,1,s4,f312,1,1,1,0
l773,0,e15,1,r8,1,s2,f203xf71xf82,3,7,2.33333333333333,1.52752523165195
l826,1,e11xe13xe14,3,r4xr6xr8,3,s1,f118xf170xf273xf345xf54xf68,6,44,7.33333333333333,5.64505683467108
l480,0,e34xe35,2,r2,1,s2,f228xf230xf308xf310,4,124,31,1.82574185835055
l1037,0,e11,1,r8,1,s1,f170xf54,2,32,16,0
l834,1,e15,1,r8,1,s2,f203xf82,2,34,17,18.3847763108502
l484,0,e34xe35,2,r2,1,s2,f229xf230xf232xf234xf235xf309xf312xf314,8,44,5.5,7.67184090405574
l756,0,e11xe32xe54,3,r2xr8,2,s1,f170xf280xf54,3,15,5,3.46410161513775
l821,2,e11xe15,2,r8,1,s1,f193xf196xf203xf71xf74xf82,6,32,5.33333333333333,5.81950742474539
l802,0,e11xe13xe14,3,r4xr6xr8,3,s1,f345xf54,2,2,1,0
l172,0,e34xe35,2,r2,1,s2,f227xf232xf233xf307xf312xf313,6,43,7.16666666666667,1.83484785926972
l520,0,e34xe35,2,r2,1,s2,f232xf312,2,12,6,0
l826,1,e11xe14xe54,3,r2xr4xr8,3,s2,f54,1,1,1,0
l696,0,e11,1,r8,1,s2,f170xf54,2,2,1,0
l714,1,e11xe23,2,r7xr8,2,s1,f209xf306xf87,3,3,1,0
l756,0,e11xe54,2,r2xr8,2,s1,f170xf360xf362xf54,4,5,1.25,0.5
l604,0,e32,1,r8,1,s4,f280,1,3,3,0
l91,0,e34xe35,2,r2,1,s2,f235xf315,2,346,173,87.6812408671319
l414,0,e35,1,r2,1,s4,f312,1,2,2,0
l879,0,e11,1,r8,1,s2,f195xf73,2,2,1,0
l684,1,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,79,19.75,28.2415179006606
l311,1,e20,1,r2,1,s1,f134xf219,2,2,1,0
l311,1,e35,1,r2,1,s4,f301xf312,2,2,1,0
l226,1,e34xe35,2,r2,1,s2,f232xf307xf312,3,3,1,0
l829,0,e11,1,r8,1,s1,f171,1,1,1,0
l875,1,e11,1,r8,1,s1,f202xf81,2,7,3.5,0.707106781186548
l989,1,e11,1,r8,1,s1,f209xf68,2,2,1,0
l500,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,18,3,1.67332005306815
l821,2,e11xe15,2,r8,1,s1,f193xf201xf203xf68xf71xf80xf82,7,15,2.14285714285714,1.21498579258791
l823,0,e15,1,r8,1,s2,f71,1,5,5,0
l803,1,e11,1,r8,1,s1,f170xf54,2,7,3.5,0.707106781186548
l808,0,e11xe15,2,r8,1,s1,f168xf193xf52xf71,4,25,6.25,8.53912563829967
l885,1,e11,1,r8,1,s1,f191xf202xf70xf81,4,8,2,1.4142135623731
l126,0,e34xe35,2,r2,1,s2,f232xf233xf235xf307xf312xf313xf315,7,14,2,1
l143,0,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l211,1,e20xe34xe35,3,r2,1,s1,f134xf219xf232xf301xf307xf312xf313,7,7,1,0
l808,0,e11xe15,2,r8,1,s1,f193xf71,2,22,11,4.24264068711928
l957,0,e11,1,r8,1,s1,f107xf191xf202xf70xf81,5,116,23.2,21.6032404976661
l242,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314,6,393,65.5,6.34822809924155
l228,1,e34xe35,2,r2,1,s2,f232xf312,2,4,2,0
l845,2,e11xe15,2,r8,1,s1,f203xf82,2,19,9.5,0.707106781186548
l760,1,e11xe54,2,r2xr8,2,s1,f170xf54,2,128,64,60.8111831820431
l976,2,e15,1,r8,1,s2,f203xf82,2,11,5.5,0.707106781186548
l1008,2,e15,1,r8,1,s2,f201xf203xf80xf82,4,83,20.75,20.8865985742054
l469,0,e35,1,r2,1,s4,f312,1,2,2,0
l601,1,e11xe13xe14,3,r4xr6xr8,3,s1,f179xf273xf345xf54xf68,5,8,1.6,0.547722557505166
l1082,1,e11,1,r8,1,s1,f161xf45xf68,3,3,1,0
l506,0,e34xe35,2,r2,1,s2,f228xf229xf230xf232xf233xf234xf236xf308xf309xf310xf312xf313xf314xf315xf316,15,261,17.4,16.7024378032498
l242,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314,6,370,61.6666666666667,11.2901136693422
l1088,1,e11xe13,2,r6xr8,2,s1,f179xf273xf68,3,3,1,0
l492,0,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l471,0,e34xe35,2,r2,1,s2,f228xf229xf230xf232xf233xf234xf236xf308xf309xf310xf312xf313xf314xf316,14,319,22.7857142857143,18.3771537573091
l810,1,e11xe15,2,r8,1,s1,f203xf56xf71xf82,4,32,8,12.0277457017791
l476,0,e34xe35,2,r2,1,s2,f228xf229xf232xf234xf308xf309xf312xf313xf314,9,107,11.8888888888889,12.6337291054982
l1019,1,e11xe15,2,r8,1,s1,f201xf203xf80xf82,4,42,10.5,9.74679434480896
l485,0,e34xe35,2,r2,1,s2,f232xf312xf314xf316,4,5,1.25,0.5
l648,0,e20,1,r2,1,s1,f134xf219,2,2,1,0
l793,0,e11,1,r8,1,s2,f195xf73,2,5,2.5,0.707106781186548
l91,0,e34xe35,2,r2,1,s2,f232xf307xf312xf313,4,14,3.5,2.64575131106459
l1072,0,e11,1,r8,1,s1,f202xf81,2,28,14,0
l270,0,e34xe35,2,r2,1,s2,f228xf233xf308xf313,4,4,1,0
l350,1,e34xe35,2,r2,1,s2,f232xf312,2,3,1.5,0.707106781186548
l95,1,e34xe35,2,r2,1,s2,f228xf230xf232xf307xf308xf310xf312,7,26,3.71428571428571,2.56347977784662
l13,1,e22xe23,2,r7,1,s4,f222xf305xf306,3,8,2.66666666666667,2.08166599946613
l1007,0,e15xe54,2,r2xr8,2,s1,f80,1,1,1,0
l846,0,e15,1,r8,1,s2,f82,1,5,5,0
l373,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,64,16,10.5198225587063
l1050,1,e11xe13,2,r6xr8,2,s1,f273xf68,2,4,2,0
l891,0,e11,1,r8,1,s1,f109xf195xf73,3,175,58.3333333333333,30.6159000085468
l600,2,e15,1,r8,1,s2,f203xf82,2,17,8.5,2.12132034355964
l91,0,e34xe35,2,r2,1,s2,f227xf232xf233xf307xf312xf313,6,162,27,23.6220236220354
l172,1,e11xe20xe34xe35,4,r2xr8,2,s1,f134xf160xf181xf219xf227xf232xf301xf307xf312xf44,10,18,1.8,1.31656117720877
l741,0,e11xe15,2,r8,1,s1,f201xf80,2,7,3.5,0.707106781186548
l814,0,e11,1,r8,1,s2,f191xf70,2,13,6.5,6.36396103067893
l1052,2,e11xe15,2,r8,1,s1,f201xf203xf80xf82,4,115,28.75,31.2236555621962
l466,0,e34xe35,2,r2,1,s2,f232xf312,2,12,6,0
l892,1,e42xe43xe44,3,r2,1,s1,f283xf291xf368xf375xf376,5,17,3.4,0.894427190999916
l253,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,4,1,0
l211,0,e20xe34xe35,3,r2,1,s1,f134xf219xf221xf301,4,4,1,0
l925,0,e11,1,r8,1,s1,f170xf54,2,13,6.5,0.707106781186548
l878,0,e11,1,r8,1,s1,f195xf73,2,4,2,1.4142135623731
l700,1,e11,1,r8,1,s1,f54,1,1,1,0
l241,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312xf313,5,5,1,0
l756,1,e11xe54,2,r2xr8,2,s1,f170xf54,2,2,1,0
l853,0,e11,1,r8,1,s1,f170,1,4,4,0
l462,0,e20xe34xe35,3,r2,1,s1,f134xf219xf221xf301xf95,5,7,1.4,0.547722557505166
l826,0,e11xe13,2,r6xr8,2,s1,f118xf273xf30xf68,4,35,8.75,14.8408220796558
l13,0,e23,1,r7,1,s4,f306,1,2,2,0
l798,1,e15,1,r8,1,s2,f203xf82,2,33,16.5,7.77817459305202
l124,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,4,1,0
l839,0,e11,1,r8,1,s4,f170xf54,2,28,14,0
l477,0,e34xe35,2,r2,1,s2,f227xf229xf232xf234xf307xf308xf309xf310xf312xf314,10,106,10.6,15.3781952416039
l283,0,e20xe35,2,r2,1,s1,f134xf219xf301xf307xf312xf95,6,9,1.5,0.547722557505166
l190,0,e11xe34xe35,3,r2xr8,2,s1,f160xf211xf227xf232xf307xf312xf44xf94,8,10,1.25,0.462910049886276
l830,0,e11,1,r8,1,s1,f170xf68,2,32,16,21.2132034355964
l467,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,6,1.5,1
l480,0,e34xe35,2,r2,1,s2,f228xf230xf308xf310,4,95,23.75,2.75378527364305
l735,0,e11,1,r8,1,s1,f191xf70,2,5,2.5,0.707106781186548
l810,2,e11xe15xe20,3,r2xr8,2,s1,f134xf193xf203xf219xf71xf82,6,27,4.5,5.00999001995014
l282,0,e34xe35,2,r2,1,s2,f229xf232xf309xf312,4,13,3.25,2.21735578260835
l793,0,e11,1,r8,1,s1,f195xf73,2,8,4,2.82842712474619
l979,0,e11xe6,2,r1xr8,2,s2,f68,1,1,1,0
l236,1,e34xe35,2,r2,1,s2,f227xf232xf233xf307xf312xf313,6,40,6.66666666666667,8.40634680861233
l893,0,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,62,10.3333333333333,4.17931413830866
l1075,0,e15,1,r8,1,s2,f203xf82,2,12,6,4.24264068711928
l803,1,e11,1,r8,1,s1,f170xf54xf68,3,4,1.33333333333333,0.577350269189626
l388,1,e11xe34xe35,3,r2xr8,2,s1,f160xf211xf277xf278xf353xf354xf44xf94,8,10,1.25,0.707106781186548
l445,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,4,1,0
l1018,0,e11xe15,2,r8,1,s1,f201xf80,2,26,13,4.24264068711928
l600,2,e15,1,r8,1,s2,f203xf82,2,54,27,7.07106781186548
l680,1,e11,1,r8,1,s1,f171xf55,2,4,2,0
l956,2,e11,1,r8,1,s1,f182xf204xf207xf62xf83xf86,6,8,1.33333333333333,0.516397779494322
l257,0,e20xe34xe35,3,r2,1,s1,f134xf219xf227xf232xf301xf307xf312,7,7,1,0
l478,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,42,10.5,9.81495457622364
l282,1,e34xe35,2,r2,1,s2,f232xf312,2,3,1.5,0.707106781186548
l477,0,e34xe35,2,r2,1,s2,f229xf234xf309xf314,4,77,19.25,11.7011395456454
l478,0,e34xe35,2,r2,1,s2,f232xf312xf314,3,3,1,0
l1007,0,e15,1,r8,1,s2,f201xf80,2,3,1.5,0.707106781186548
l357,0,e34,1,r2,1,s2,f227xf232,2,2,1,0
l124,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313xf315,5,8,1.6,0.894427190999916
l65,2,e11xe2xe3xe32,4,r8,1,s1,f140xf171xf191xf280xf55xf7,6,46,7.66666666666667,10.8012344973464
l707,0,e15xe26,2,r8xr9,2,s2,f276xf71,2,2,1,0
l1019,0,e11xe15,2,r8,1,s1,f196xf74xf80,3,19,6.33333333333333,4.61880215351701
l1097,1,e11,1,r8,1,s1,f54,1,3,3,0
l899,2,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,28,4.66666666666667,1.86189867250253
l740,0,e20,1,r2,1,s1,f134xf219,2,2,1,0
l919,0,e11,1,r8,1,s2,f55,1,1,1,0
l976,0,e15,1,r8,1,s2,f203xf82,2,21,10.5,10.6066017177982
l90,0,e34,1,r2,1,s2,f227xf232,2,8,4,0
l746,0,e11xe20,2,r2xr8,2,s1,f134xf166xf219xf50,4,8,2,1.15470053837925
l91,0,e34xe35,2,r2,1,s2,f235xf315,2,357,178.5,67.175144212722
l326,1,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l507,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,50,12.5,12.5565388012249
l895,2,e42xe43xe44,3,r2,1,s1,f283xf290xf291xf368xf375xf376,6,262,43.6666666666667,16.9075919830905
l481,0,e34xe35,2,r2,1,s2,f228xf230xf308xf310,4,112,28,1.63299316185545
l501,0,e34xe35,2,r2,1,s2,f233xf313xf315,3,5,1.66666666666667,1.15470053837925
l300,0,e20xe35,2,r2,1,s1,f134xf219xf301,3,3,1,0
l251,0,e35,1,r2,1,s4,f312,1,1,1,0
l1050,0,e11,1,r8,1,s2,f75,1,2,2,0
l846,0,e15,1,r8,1,s2,f82,1,14,14,0
l496,0,e34xe35,2,r2,1,s2,f227xf232xf233xf234xf307xf312xf313xf314,8,355,44.375,44.4616608519552
l744,0,e11,1,r8,1,s2,f69,1,1,1,0
l1107,2,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,95,23.75,28.6400069832394
l126,0,e34xe35,2,r2,1,s2,f227xf232xf233xf235xf307xf312xf313xf315,8,42,5.25,4.09703725705714
l474,0,e34xe35,2,r2,1,s2,f235xf315,2,2,1,0
l124,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,22,3.66666666666667,1.50554530541816
l1052,1,e15xe54,2,r2xr8,2,s1,f203xf71xf82,3,14,4.66666666666667,6.35085296108588
l506,0,e34xe35,2,r2,1,s2,f229xf232xf234xf236xf309xf312xf314xf316,8,140,17.5,23.8027609442986
l124,0,e34xe35,2,r2,1,s2,f233xf235xf312xf313xf315,5,7,1.4,0.894427190999916
l849,0,e21,1,r2,1,s1,f135xf220,2,2,1,0
l821,0,e11xe15,2,r8,1,s1,f193xf203xf71xf82,4,11,2.75,1.5
l1015,0,e20,1,r2,1,s1,f134xf219,2,2,1,0
l744,1,e11xe13,2,r6xr8,2,s1,f170xf273xf345xf54xf68,5,5,1,0
l135,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,48,12,10.3923048454133
l1106,1,e11,1,r8,1,s2,f170xf68,2,2,1,0
l91,0,e34xe35,2,r2,1,s2,f235xf315,2,401,200.5,38.8908729652601
l584,0,e11,1,r8,1,s2,f73,1,1,1,0
l51,0,e20xe54,2,r2,1,s1,f134xf219,2,2,1,0
l563,0,e11,1,r8,1,s2,f55,1,6,6,0
l229,1,e21xe34xe35,3,r2,1,s1,f135xf220xf233xf234xf301xf307xf312xf313xf314,9,22,2.44444444444444,0.52704627669473
l468,0,e34xe35,2,r2,1,s2,f232xf312,2,28,14,0
l895,1,e42xe43xe44,3,r2,1,s1,f283xf291xf368xf375xf376,5,19,3.8,1.6431676725155
l892,0,e42xe43xe44,3,r2,1,s2,f290xf368xf375xf376,4,21,5.25,2.87228132326901
l995,0,e15,1,r8,1,s2,f71xf80xf82,3,27,9,8.54400374531753
l540,2,e11,1,r8,1,s1,f167xf205,2,8,4,4.24264068711928
l208,1,e21,1,r2,1,s1,f135xf220,2,2,1,0
l459,0,e34xe35,2,r2,1,s2,f232xf234xf312xf314,4,4,1,0
l230,0,e11xe34xe35,3,r2xr8,2,s2,f181xf227xf232xf307xf312,5,5,1,0
l1007,0,e11xe15,2,r8,1,s1,f201,1,2,2,0
l704,2,e11xe15,2,r8,1,s1,f201xf203xf71xf80xf82,5,41,8.2,10.1833196944808
l488,0,e34xe35,2,r2,1,s2,f232xf233xf312xf313,4,22,5.5,3.41565025531987
l333,0,e35,1,r2,1,s4,f307xf312xf313,3,3,1,0
l1075,2,e15,1,r8,1,s2,f203xf82,2,16,8,5.65685424949238
l1050,0,e11,1,r8,1,s2,f75,1,1,1,0
l49,0,e20,1,r2,1,s1,f134,1,1,1,0
l638,2,e42xe44,2,r2,1,s1,f283xf291xf368xf376,4,56,14,10.3923048454133
l976,1,e15,1,r8,1,s2,f203xf82,2,14,7,1.4142135623731
l702,1,e11,1,r8,1,s1,f209,1,2,2,0
l793,0,e11,1,r8,1,s1,f195xf73,2,63,31.5,30.4055915910215
l484,0,e34xe35,2,r2,1,s2,f232xf312,2,6,3,0
l481,0,e34xe35,2,r2,1,s2,f228xf230xf308xf310,4,95,23.75,2.21735578260835
l821,0,e11xe15,2,r8,1,s1,f193xf196xf203xf71xf74xf80xf82,7,44,6.28571428571429,7.27356596895649
l810,0,e21,1,r2,1,s1,f135,1,1,1,0
l1022,1,e11,1,r8,1,s1,f196,1,1,1,0
l1119,2,e11,1,r8,1,s1,f170xf206xf207xf209xf54,5,50,10,15.1657508881031
l1116,0,e20,1,r2,1,s1,f134xf219,2,2,1,0
l638,2,e42xe44,2,r2,1,s1,f283xf291xf368xf376,4,58,14.5,5.19615242270663
l704,0,e15,1,r8,1,s2,f82,1,8,8,0
l124,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,20,3.33333333333333,1.03279555898864
l1100,2,e11xe15,2,r8,1,s1,f105xf172xf193xf203xf56xf71xf82,7,634,90.5714285714286,116.784498318994
l724,1,e11,1,r8,1,s1,f170xf54,2,4,2,0
l891,0,e11,1,r8,1,s1,f195xf73,2,4,2,0
l1052,0,e15,1,r8,1,s2,f80xf82,2,6,3,1.4142135623731
l157,0,e34xe35,2,r2,1,s2,f232xf312,2,4,2,1.4142135623731
l378,0,e34xe35,2,r2,1,s2,f232xf312,2,9,4.5,0.707106781186548
l518,0,e34xe35,2,r2,1,s2,f232xf233xf235xf312xf313xf315,6,24,4,2.96647939483827
l1008,2,e15,1,r8,1,s2,f203xf82,2,95,47.5,26.1629509039023
l1106,0,e11,1,r8,1,s1,f54,1,1,1,0
l793,0,e11,1,r8,1,s1,f195xf73,2,120,60,32.5269119345812
l1007,1,e11xe54,2,r2xr8,2,s1,f183,1,1,1,0
l1034,0,e11,1,r8,1,s1,f170xf54,2,7,3.5,0.707106781186548
l1019,2,e11xe15,2,r8,1,s1,f203xf82,2,53,26.5,23.3345237791561
l378,0,e34xe35,2,r2,1,s2,f232xf312,2,5,2.5,0.707106781186548
l684,0,e11xe15,2,r8,1,s1,f203xf71xf82,3,45,15,15.7162336455017
l878,0,e11,1,r8,1,s1,f195xf73,2,18,9,1.4142135623731
l208,0,e20xe35,2,r2,1,s1,f134xf219xf301xf307xf312,5,5,1,0
l353,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,8,2,0
l755,0,e11,1,r8,1,s1,f171xf55,2,3,1.5,0.707106781186548
l163,0,e11,1,r8,1,s2,f181,1,1,1,0
l664,0,e11,1,r8,1,s1,f171xf55,2,32,16,0
l839,1,e11,1,r8,1,s1,f170xf54xf68,3,90,30,25.5147016443461
l809,0,e11xe15,2,r8,1,s1,f193xf71,2,7,3.5,2.12132034355964
l760,1,e11xe54,2,r2xr8,2,s1,f170xf360xf362,3,14,4.66666666666667,3.21455025366432
l242,0,e11xe34xe35,3,r2xr8,2,s2,f181xf232xf307xf312,4,12,3,2.3094010767585
l613,1,e15xe54,2,r8,1,s1,f203xf82,2,36,18,4.24264068711928
l1107,0,e11xe15,2,r8,1,s1,f193xf201xf203xf71xf80xf82,6,39,6.5,10.7098085883922
l786,0,e23,1,r7,1,s4,f306,1,1,1,0
l846,2,e15,1,r8,1,s2,f193xf203xf71xf82,4,21,5.25,4.42530601578392
l13,1,e11xe13,2,r6xr8,2,s1,f273xf68,2,4,2,0
l373,0,e34xe35,2,r2,1,s2,f232xf312,2,7,3.5,0.707106781186548
l1018,0,e11xe15,2,r8,1,s1,f201xf80,2,3,1.5,0.707106781186548
l505,0,e34xe35,2,r2,1,s2,f228xf229xf231xf232xf233xf234xf236xf308xf309xf310xf311xf312xf313xf314xf316,15,568,37.8666666666667,30.5377206247025
l793,0,e11,1,r8,1,s1,f195xf73,2,81,40.5,17.6776695296637
