"","location","fault_severity","severity_type","n.event.types","n.features","max.vol","min.vol","n.resource_type","highest_feature","lowest_feature","sum_vol","sd_vol"
"11307","location 798","2","severity_type 2",1,3,8,1,1,"feature 82","feature 68",16,3.78593889720018
"11310","location 328","0","severity_type 2",2,2,1,1,1,"feature 313","feature 313",2,0
"11311","location 810","2","severity_type 1",2,4,16,2,1,"feature 82","feature 172",34,7.54983443527075
"11313","location 1010","1","severity_type 1",1,2,1,1,1,"feature 195","feature 195",2,0
"11315","location 147","0","severity_type 2",2,6,3,1,1,"feature 307","feature 233",13,0.752772652709081
"11317","location 875","1","severity_type 1",1,2,3,3,1,"feature 82","feature 82",6,0
"11318","location 457","0","severity_type 2",2,7,35,2,1,"feature 233","feature 316",86,15.5425682746266
"11319","location 643","0","severity_type 4",1,1,1,1,1,"feature 368","feature 368",1,NA
"11322","location 983","1","severity_type 1",2,2,1,1,1,"feature 201","feature 201",2,0
"11325","location 649","1","severity_type 1",1,1,2,2,1,"feature 170","feature 170",2,NA
"11328","location 734","2","severity_type 1",2,5,24,1,1,"feature 82","feature 80",53,9.555103348473
"11329","location 680","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"11330","location 1036","0","severity_type 2",1,2,1,1,1,"feature 167","feature 167",2,0
"11333","location 328","0","severity_type 2",2,5,1,1,1,"feature 307","feature 307",5,0
"11336","location 135","0","severity_type 2",2,5,23,1,1,"feature 312","feature 315",58,10.573551910309
"11338","location 6","1","severity_type 1",1,1,1,1,1,"feature 134","feature 134",1,NA
"11340","location 497","0","severity_type 4",1,1,7,7,1,"feature 312","feature 312",7,NA
"11342","location 408","1","severity_type 2",2,4,1,1,1,"feature 233","feature 233",4,0
"11348","location 702","1","severity_type 2",1,2,5,1,1,"feature 87","feature 209",6,2.82842712474619
"11352","location 1019","2","severity_type 1",2,4,4,1,2,"feature 203","feature 219",10,1.73205080756888
"11353","location 556","1","severity_type 1",2,2,1,1,2,"feature 154","feature 154",2,0
"11355","location 892","0","severity_type 1",3,5,5,3,1,"feature 368","feature 283",21,0.836660026534076
"11359","location 114","1","severity_type 1",2,3,1,1,1,"feature 301","feature 301",3,0
"11362","location 193","0","severity_type 2",2,2,1,1,1,"feature 314","feature 314",2,0
"11369","location 838","0","severity_type 2",1,2,1,1,1,"feature 68","feature 68",2,0
"11373","location 175","1","severity_type 2",2,5,1,1,1,"feature 312","feature 312",5,0
"11374","location 893","0","severity_type 1",4,7,15,1,1,"feature 368","feature 374",63,4.93288286231625
"11376","location 477","0","severity_type 2",2,4,11,1,1,"feature 312","feature 314",24,5.77350269189626
"11380","location 396","1","severity_type 2",2,2,1,1,1,"feature 314","feature 314",2,0
"11381","location 501","0","severity_type 2",2,3,2,2,1,"feature 313","feature 313",6,0
"11382","location 998","1","severity_type 1",1,2,1,1,1,"feature 170","feature 170",2,0
"11386","location 356","0","severity_type 2",2,6,1,1,1,"feature 314","feature 314",6,0
"11390","location 737","0","severity_type 2",1,1,2,2,1,"feature 42","feature 42",2,NA
"11392","location 270","0","severity_type 2",2,6,13,1,1,"feature 315","feature 314",29,5.94698803316996
"11396","location 218","1","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"11397","location 1086","2","severity_type 2",1,2,12,5,1,"feature 82","feature 203",17,4.94974746830583
"11400","location 827","1","severity_type 1",1,2,1,1,1,"feature 55","feature 55",2,0
"11401","location 388","1","severity_type 1",3,10,3,1,1,"feature 307","feature 227",14,0.699205898780101
"11402","location 457","0","severity_type 2",2,9,45,1,1,"feature 233","feature 236",104,17.9590583767017
"11403","location 976","0","severity_type 2",1,1,7,7,1,"feature 82","feature 82",7,NA
"11404","location 1042","2","severity_type 2",1,2,34,26,1,"feature 82","feature 203",60,5.65685424949238
"11407","location 471","0","severity_type 2",2,2,5,5,1,"feature 312","feature 312",10,0
"11410","location 1086","1","severity_type 2",1,2,2,1,1,"feature 82","feature 203",3,0.707106781186548
"11411","location 936","1","severity_type 1",2,2,1,1,2,"feature 273","feature 273",2,0
"11414","location 380","0","severity_type 2",2,2,14,14,1,"feature 312","feature 312",28,0
"11418","location 244","0","severity_type 2",2,2,52,51,1,"feature 232","feature 312",103,0.707106781186548
"11419","location 734","0","severity_type 2",1,4,22,2,1,"feature 82","feature 80",28,10
"11421","location 885","1","severity_type 1",2,8,4,1,2,"feature 202","feature 191",12,1.0690449676497
"11424","location 477","0","severity_type 2",2,7,67,1,1,"feature 314","feature 235",162,27.0396534212785
"11430","location 135","0","severity_type 1",3,5,12,1,1,"feature 312","feature 313",27,6.02494813255683
"11431","location 34","0","severity_type 1",1,2,3,2,1,"feature 171","feature 55",5,0.707106781186548
"11435","location 723","1","severity_type 1",1,3,3,1,1,"feature 170","feature 68",5,1.15470053837925
"11436","location 1126","0","severity_type 1",1,2,1,1,1,"feature 219","feature 219",2,0
"11441","location 684","2","severity_type 2",1,2,10,4,1,"feature 82","feature 203",14,4.24264068711928
"11442","location 893","0","severity_type 1",3,6,25,6,1,"feature 368","feature 290",104,7.28468713581213
"11444","location 1007","1","severity_type 1",2,2,12,6,1,"feature 201","feature 80",18,4.24264068711928
"11446","location 1097","1","severity_type 1",1,2,3,2,1,"feature 54","feature 170",5,0.707106781186548
"11453","location 989","1","severity_type 1",1,4,3,1,1,"feature 209","feature 54",9,0.957427107756338
"11454","location 804","1","severity_type 1",1,2,1,1,1,"feature 219","feature 219",2,0
"11457","location 837","1","severity_type 1",3,4,2,2,3,"feature 68","feature 68",8,0
"11462","location 400","1","severity_type 1",2,3,3,2,1,"feature 301","feature 134",7,0.577350269189626
"11463","location 494","0","severity_type 2",2,6,151,21,1,"feature 232","feature 235",544,51.7944655988134
"11466","location 825","1","severity_type 2",2,1,2,2,2,"feature 80","feature 80",2,NA
"11469","location 229","0","severity_type 1",3,10,3,1,1,"feature 312","feature 313",19,0.567646212197547
"11472","location 821","0","severity_type 1",2,6,11,2,1,"feature 201","feature 203",36,3.286335345031
"11474","location 533","0","severity_type 1",2,4,8,1,2,"feature 171","feature 135",15,3.40342964277702
"11476","location 504","0","severity_type 2",2,2,20,16,1,"feature 232","feature 312",36,2.82842712474619
"11477","location 496","0","severity_type 2",2,8,166,1,1,"feature 232","feature 229",454,70.1157206745697
"11482","location 930","0","severity_type 1",1,1,1,1,1,"feature 134","feature 134",1,NA
"11483","location 1112","0","severity_type 1",1,1,1,1,1,"feature 87","feature 87",1,NA
"11487","location 92","0","severity_type 2",2,4,3,2,1,"feature 312","feature 232",10,0.577350269189626
"11493","location 135","1","severity_type 1",4,9,6,1,2,"feature 312","feature 189",27,1.73205080756888
"11496","location 74","1","severity_type 1",2,4,1,1,2,"feature 154","feature 154",4,0
"11497","location 1075","1","severity_type 2",1,2,10,2,1,"feature 82","feature 203",12,5.65685424949238
"11499","location 894","0","severity_type 1",3,6,5,1,1,"feature 368","feature 290",20,1.63299316185545
"11500","location 932","0","severity_type 2",1,1,4,4,1,"feature 80","feature 80",4,NA
"11510","location 957","1","severity_type 1",1,2,4,4,1,"feature 81","feature 81",8,0
"11517","location 942","1","severity_type 1",2,4,2,1,2,"feature 179","feature 345",6,0.577350269189626
"11518","location 756","1","severity_type 1",1,2,1,1,1,"feature 68","feature 68",2,0
"11520","location 756","0","severity_type 1",1,1,1,1,1,"feature 68","feature 68",1,NA
"11523","location 298","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"11526","location 600","2","severity_type 2",1,2,8,7,1,"feature 82","feature 203",15,0.707106781186548
"11527","location 763","2","severity_type 1",1,2,5,5,1,"feature 74","feature 74",10,0
"11529","location 375","0","severity_type 2",2,2,10,6,1,"feature 313","feature 233",16,2.82842712474619
"11530","location 522","0","severity_type 2",2,2,5,3,1,"feature 232","feature 312",8,1.4142135623731
"11532","location 846","1","severity_type 2",1,2,6,1,1,"feature 82","feature 203",7,3.53553390593274
"11534","location 921","1","severity_type 1",2,3,8,1,1,"feature 82","feature 80",10,4.04145188432738
"11537","location 726","1","severity_type 1",1,2,1,1,1,"feature 54","feature 54",2,0
"11546","location 7","2","severity_type 1",2,7,79,1,2,"feature 202","feature 362",108,28.5123198100818
"11547","location 734","2","severity_type 1",3,4,9,1,2,"feature 82","feature 193",18,3.41565025531987
"11548","location 519","0","severity_type 1",3,5,2,1,2,"feature 232","feature 181",7,0.547722557505166
"11549","location 719","0","severity_type 1",1,1,1,1,1,"feature 134","feature 134",1,NA
"11552","location 601","0","severity_type 1",2,3,2,1,2,"feature 345","feature 330",5,0.577350269189626
"11557","location 742","1","severity_type 4",1,2,1,1,1,"feature 360","feature 360",2,0
"11563","location 471","0","severity_type 2",2,18,30,1,1,"feature 314","feature 230",200,9.37386158665422
"11566","location 484","0","severity_type 2",2,8,3,1,1,"feature 310","feature 235",15,0.83452296039628
"11570","location 892","1","severity_type 1",3,6,10,1,1,"feature 375","feature 290",35,4.26223728418147
"11571","location 463","0","severity_type 2",2,2,4,2,1,"feature 312","feature 232",6,1.4142135623731
"11574","location 443","0","severity_type 4",1,3,1,1,1,"feature 315","feature 315",3,0
"11580","location 948","0","severity_type 1",2,3,2,2,2,"feature 170","feature 170",6,0
"11581","location 1018","0","severity_type 1",2,2,7,4,1,"feature 80","feature 201",11,2.12132034355964
"11582","location 424","1","severity_type 2",2,4,1,1,1,"feature 312","feature 312",4,0
"11585","location 44","0","severity_type 4",2,1,1,1,1,"feature 365","feature 365",1,NA
"11586","location 1050","1","severity_type 4",3,4,2,1,3,"feature 305","feature 163",5,0.5
"11589","location 1100","2","severity_type 1",2,4,171,4,1,"feature 82","feature 193",226,77.1340823933666
"11590","location 635","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"11591","location 149","1","severity_type 2",2,2,1,1,1,"feature 233","feature 233",2,0
"11593","location 904","0","severity_type 1",1,2,2,2,1,"feature 219","feature 219",4,0
"11594","location 479","0","severity_type 2",2,3,13,1,1,"feature 314","feature 312",17,6.42910050732864
"11595","location 984","2","severity_type 1",5,6,40,1,5,"feature 54","feature 345",47,15.765997166899
"11598","location 344","0","severity_type 2",2,2,9,6,1,"feature 312","feature 232",15,2.12132034355964
"11599","location 803","1","severity_type 1",1,2,1,1,1,"feature 54","feature 54",2,0
"11600","location 651","1","severity_type 1",1,1,1,1,1,"feature 209","feature 209",1,NA
"11604","location 847","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"11606","location 853","1","severity_type 1",1,2,2,1,1,"feature 170","feature 68",3,0.707106781186548
"11607","location 582","0","severity_type 1",1,2,2,1,1,"feature 134","feature 219",3,0.707106781186548
"11608","location 826","1","severity_type 1",2,2,2,2,2,"feature 273","feature 273",4,0
"11612","location 821","0","severity_type 1",3,2,1,1,2,"feature 193","feature 193",2,0
"11613","location 478","0","severity_type 2",2,2,10,10,1,"feature 312","feature 312",20,0
"11616","location 13","0","severity_type 4",2,3,3,1,1,"feature 305","feature 222",6,1
"11617","location 762","0","severity_type 1",1,2,2,2,1,"feature 219","feature 219",4,0
"11618","location 484","0","severity_type 2",2,3,1,1,1,"feature 312","feature 312",3,0
"11620","location 1061","0","severity_type 2",1,1,14,14,1,"feature 82","feature 82",14,NA
"11624","location 906","0","severity_type 1",1,2,2,2,1,"feature 81","feature 81",4,0
"11631","location 878","0","severity_type 2",1,2,3,3,1,"feature 195","feature 195",6,0
"11632","location 382","0","severity_type 2",2,2,3,3,1,"feature 232","feature 232",6,0
"11633","location 139","1","severity_type 2",2,2,2,2,1,"feature 312","feature 312",4,0
"11635","location 255","0","severity_type 2",2,2,3,2,1,"feature 312","feature 232",5,0.707106781186548
"11636","location 989","0","severity_type 1",1,3,3,1,1,"feature 87","feature 54",6,1
"11637","location 479","0","severity_type 1",3,8,3,1,2,"feature 312","feature 211",11,0.744023809142845
"11640","location 471","0","severity_type 1",3,7,4,1,1,"feature 312","feature 227",18,1.13389341902768
"11642","location 504","0","severity_type 2",2,2,10,6,1,"feature 312","feature 232",16,2.82842712474619
"11648","location 744","1","severity_type 1",2,4,2,1,2,"feature 345","feature 273",5,0.5
"11650","location 763","2","severity_type 2",1,2,37,16,1,"feature 82","feature 203",53,14.8492424049175
"11651","location 102","1","severity_type 2",2,4,1,1,1,"feature 227","feature 227",4,0
"11653","location 1018","0","severity_type 1",2,1,4,4,1,"feature 80","feature 80",4,NA
"11654","location 607","1","severity_type 2",2,1,2,2,2,"feature 46","feature 46",2,NA
"11657","location 184","0","severity_type 1",3,3,1,1,1,"feature 221","feature 221",3,0
"11659","location 1075","1","severity_type 2",1,2,14,8,1,"feature 82","feature 203",22,4.24264068711928
"11660","location 615","0","severity_type 2",1,1,1,1,1,"feature 171","feature 171",1,NA
"11661","location 707","0","severity_type 2",2,2,3,1,2,"feature 71","feature 276",4,1.4142135623731
"11663","location 16","0","severity_type 1",1,2,3,1,1,"feature 54","feature 170",4,1.4142135623731
"11670","location 995","2","severity_type 1",2,4,6,2,1,"feature 82","feature 203",16,1.63299316185545
"11671","location 798","0","severity_type 2",1,2,26,17,1,"feature 82","feature 203",43,6.36396103067893
"11674","location 812","0","severity_type 1",2,5,24,3,2,"feature 55","feature 39",49,9.1214034007931
"11685","location 779","2","severity_type 2",1,4,42,1,1,"feature 82","feature 201",49,19.8557296516648
"11686","location 945","1","severity_type 1",2,3,4,1,2,"feature 202","feature 134",8,1.52752523165195
"11687","location 1026","0","severity_type 1",1,2,5,4,1,"feature 54","feature 170",9,0.707106781186548
"11688","location 468","0","severity_type 2",2,2,64,58,1,"feature 312","feature 232",122,4.24264068711928
"11689","location 310","0","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"11690","location 696","1","severity_type 1",1,3,37,1,1,"feature 54","feature 103",42,19.9749843554382
"11692","location 628","0","severity_type 1",1,3,2,1,1,"feature 204","feature 207",4,0.577350269189626
"11693","location 124","0","severity_type 2",2,6,5,2,1,"feature 315","feature 232",22,1.36626010212795
"11694","location 1031","1","severity_type 1",1,2,6,6,1,"feature 87","feature 87",12,0
"11695","location 244","1","severity_type 2",2,2,24,23,1,"feature 232","feature 312",47,0.707106781186548
"11696","location 744","2","severity_type 1",4,15,22,1,4,"feature 170","feature 90",41,5.43095185904258
"11697","location 118","0","severity_type 2",2,2,16,13,1,"feature 232","feature 312",29,2.12132034355964
"11698","location 744","0","severity_type 1",2,6,8,2,2,"feature 273","feature 345",31,2.63944438597722
"11700","location 648","0","severity_type 1",3,3,3,1,3,"feature 54","feature 345",7,1.15470053837925
"11706","location 984","0","severity_type 1",2,2,2,1,2,"feature 68","feature 273",3,0.707106781186548
"11707","location 641","1","severity_type 1",2,4,11,5,1,"feature 376","feature 283",32,3.46410161513775
"11709","location 894","0","severity_type 1",3,9,109,5,1,"feature 376","feature 125",427,46.1413889883885
"11710","location 491","0","severity_type 1",4,10,3,1,2,"feature 235","feature 215",12,0.632455532033676
"11711","location 394","1","severity_type 2",2,3,1,1,2,"feature 44","feature 44",3,0
"11712","location 104","1","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"11713","location 373","0","severity_type 2",2,2,74,72,1,"feature 232","feature 312",146,1.4142135623731
"11716","location 311","0","severity_type 2",2,2,3,2,1,"feature 312","feature 232",5,0.707106781186548
"11718","location 976","2","severity_type 2",1,2,6,4,1,"feature 82","feature 203",10,1.4142135623731
"11719","location 476","0","severity_type 2",2,7,32,1,1,"feature 314","feature 232",65,12.0514768903274
"11721","location 455","0","severity_type 2",2,2,2,2,1,"feature 232","feature 232",4,0
"11724","location 707","0","severity_type 2",1,1,2,2,1,"feature 71","feature 71",2,NA
"11726","location 963","0","severity_type 1",1,3,203,118,1,"feature 73","feature 109",450,46.2276973253049
"11729","location 887","0","severity_type 4",1,1,2,2,1,"feature 54","feature 54",2,NA
"11730","location 976","1","severity_type 2",1,1,2,2,1,"feature 80","feature 80",2,NA
"11731","location 342","0","severity_type 2",2,4,1,1,1,"feature 233","feature 233",4,0
"11732","location 218","1","severity_type 2",2,4,1,1,1,"feature 227","feature 227",4,0
"11733","location 311","0","severity_type 2",2,2,6,6,1,"feature 232","feature 232",12,0
"11737","location 615","0","severity_type 1",2,6,42,2,2,"feature 55","feature 21",112,13.47095641247
"11738","location 1107","1","severity_type 1",3,6,30,1,2,"feature 82","feature 219",51,11.0227038425243
"11739","location 95","0","severity_type 2",2,4,10,8,1,"feature 230","feature 308",36,1.15470053837925
"11742","location 613","2","severity_type 1",3,3,44,2,1,"feature 82","feature 71",55,22.5018517756502
"11743","location 798","1","severity_type 2",1,2,12,5,1,"feature 82","feature 203",17,4.94974746830583
"11746","location 984","1","severity_type 1",3,5,4,1,3,"feature 54","feature 273",10,1.4142135623731
"11748","location 496","0","severity_type 2",2,4,16,13,1,"feature 232","feature 313",57,1.5
"11752","location 505","0","severity_type 2",2,3,64,2,1,"feature 232","feature 313",120,33.2866339541865
"11753","location 661","1","severity_type 4",2,5,5,1,2,"feature 305","feature 197",12,1.94935886896179
"11754","location 1100","2","severity_type 1",2,4,13,1,1,"feature 82","feature 71",23,5.5
"11755","location 814","0","severity_type 4",1,1,2,2,1,"feature 70","feature 70",2,NA
"11757","location 673","1","severity_type 1",1,2,8,8,1,"feature 171","feature 171",16,0
"11759","location 507","0","severity_type 2",2,2,35,35,1,"feature 312","feature 312",70,0
"11761","location 476","0","severity_type 2",2,2,8,8,1,"feature 232","feature 232",16,0
"11764","location 805","0","severity_type 1",1,2,4,4,1,"feature 70","feature 70",8,0
"11765","location 821","1","severity_type 1",3,5,8,1,2,"feature 82","feature 201",20,3.24037034920393
"11766","location 1008","0","severity_type 1",2,4,26,4,1,"feature 82","feature 80",58,11.6189500386223
"11772","location 810","2","severity_type 1",2,2,21,12,2,"feature 82","feature 203",33,6.36396103067893
"11775","location 845","2","severity_type 1",2,3,20,2,1,"feature 82","feature 71",30,9.16515138991168
"11776","location 1023","1","severity_type 2",2,1,2,2,2,"feature 68","feature 68",2,NA
"11777","location 244","0","severity_type 2",2,2,8,7,1,"feature 232","feature 312",15,0.707106781186548
"11778","location 1107","2","severity_type 1",2,6,58,1,1,"feature 82","feature 193",104,23.1315080932192
"11781","location 1044","0","severity_type 1",1,2,2,2,1,"feature 195","feature 195",4,0
"11786","location 478","0","severity_type 2",2,6,3,1,1,"feature 314","feature 232",11,0.752772652709081
"11788","location 886","0","severity_type 1",2,3,2,1,2,"feature 345","feature 243",4,0.577350269189626
"11790","location 1019","0","severity_type 1",2,3,12,1,1,"feature 82","feature 74",17,5.68624070307733
"11791","location 638","2","severity_type 1",2,4,20,12,1,"feature 376","feature 283",65,4.3493294502333
"11795","location 798","0","severity_type 2",1,2,6,3,1,"feature 82","feature 203",9,2.12132034355964
"11797","location 794","0","severity_type 1",2,2,2,2,2,"feature 163","feature 163",4,0
"11802","location 480","0","severity_type 2",2,4,30,25,1,"feature 310","feature 308",110,2.88675134594813
"11805","location 157","0","severity_type 2",2,2,9,9,1,"feature 232","feature 232",18,0
"11806","location 479","0","severity_type 2",2,2,13,11,1,"feature 314","feature 234",24,1.4142135623731
"11807","location 756","0","severity_type 1",1,2,1,1,1,"feature 87","feature 87",2,0
"11810","location 116","0","severity_type 2",2,2,4,2,1,"feature 312","feature 232",6,1.4142135623731
"11813","location 518","0","severity_type 2",2,11,34,1,1,"feature 314","feature 229",79,10.3519870731969
"11815","location 478","0","severity_type 2",2,9,35,1,1,"feature 314","feature 313",123,13.9910685796332
"11816","location 829","0","severity_type 2",1,2,2,1,1,"feature 55","feature 171",3,0.707106781186548
"11817","location 984","2","severity_type 1",3,5,5,1,3,"feature 68","feature 345",13,1.51657508881031
"11818","location 845","2","severity_type 2",1,2,22,8,1,"feature 82","feature 203",30,9.89949493661167
"11820","location 895","1","severity_type 1",3,6,17,4,1,"feature 368","feature 290",74,4.80277697448743
"11823","location 244","0","severity_type 2",2,2,18,15,1,"feature 232","feature 312",33,2.12132034355964
"11824","location 613","0","severity_type 2",2,1,1,1,1,"feature 71","feature 71",1,NA
"11826","location 1010","0","severity_type 1",1,2,2,2,1,"feature 195","feature 195",4,0
"11827","location 126","0","severity_type 1",3,11,12,1,1,"feature 313","feature 348",54,4.01134754052913
"11833","location 1000","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"11842","location 760","0","severity_type 4",1,2,12,11,1,"feature 360","feature 362",23,0.707106781186548
"11844","location 503","0","severity_type 1",2,3,1,1,1,"feature 220","feature 220",3,0
"11845","location 845","2","severity_type 1",3,4,6,1,2,"feature 203","feature 134",13,2.62995563967658
"11846","location 976","1","severity_type 1",2,4,7,2,1,"feature 71","feature 82",18,2.88675134594813
"11847","location 772","0","severity_type 1",1,2,2,2,1,"feature 191","feature 191",4,0
"11848","location 892","0","severity_type 1",3,8,96,15,1,"feature 375","feature 290",407,36.1443040365382
"11853","location 704","1","severity_type 2",1,2,13,2,1,"feature 82","feature 203",15,7.77817459305202
"11854","location 495","0","severity_type 2",2,2,28,27,1,"feature 312","feature 232",55,0.707106781186548
"11855","location 972","1","severity_type 2",3,5,2,1,2,"feature 306","feature 87",6,0.447213595499958
"11856","location 496","0","severity_type 2",2,9,163,1,1,"feature 232","feature 229",426,64.5193769343753
"11860","location 468","0","severity_type 1",3,5,6,1,1,"feature 312","feature 134",14,2.04939015319192
"11861","location 803","1","severity_type 1",1,1,2,2,1,"feature 170","feature 170",2,NA
"11863","location 760","1","severity_type 1",1,1,1,1,1,"feature 54","feature 54",1,NA
"11864","location 124","0","severity_type 2",2,6,3,2,1,"feature 313","feature 233",16,0.516397779494322
"11868","location 46","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"11872","location 974","1","severity_type 1",1,1,2,2,1,"feature 209","feature 209",2,NA
"11873","location 845","0","severity_type 2",1,1,12,12,1,"feature 82","feature 82",12,NA
"11877","location 466","0","severity_type 2",2,4,4,1,1,"feature 312","feature 227",10,1.73205080756888
"11882","location 240","0","severity_type 2",2,6,5,1,1,"feature 312","feature 227",14,1.75119007154183
"11884","location 97","1","severity_type 2",2,6,1,1,1,"feature 312","feature 312",6,0
"11885","location 755","0","severity_type 2",1,2,2,1,1,"feature 55","feature 104",3,0.707106781186548
"11886","location 754","0","severity_type 1",1,2,2,1,1,"feature 171","feature 68",3,0.707106781186548
"11893","location 199","0","severity_type 2",2,2,2,2,1,"feature 312","feature 312",4,0
"11896","location 1019","1","severity_type 2",1,4,9,2,1,"feature 82","feature 201",19,3.40342964277702
"11897","location 937","0","severity_type 1",1,4,16,1,1,"feature 170","feature 182",20,7.34846922834953
"11899","location 1034","0","severity_type 1",1,2,5,4,1,"feature 170","feature 54",9,0.707106781186548
"11907","location 515","0","severity_type 2",3,5,63,2,2,"feature 312","feature 307",138,29.7875813049667
"11912","location 1049","0","severity_type 2",1,2,2,2,1,"feature 202","feature 202",4,0
"11918","location 276","1","severity_type 2",2,2,2,1,1,"feature 312","feature 232",3,0.707106781186548
"11919","location 783","0","severity_type 1",1,1,1,1,1,"feature 219","feature 219",1,NA
"11923","location 350","1","severity_type 2",2,3,1,1,1,"feature 301","feature 301",3,0
"11924","location 270","0","severity_type 2",2,3,1,1,1,"feature 313","feature 313",3,0
"11925","location 830","0","severity_type 1",1,1,2,2,1,"feature 87","feature 87",2,NA
"11926","location 737","0","severity_type 1",1,2,4,2,1,"feature 157","feature 42",6,1.4142135623731
"11928","location 1011","1","severity_type 1",1,1,1,1,1,"feature 74","feature 74",1,NA
"11930","location 380","0","severity_type 2",2,2,7,4,1,"feature 312","feature 232",11,2.12132034355964
"11932","location 338","0","severity_type 4",1,2,1,1,1,"feature 307","feature 307",2,0
"11936","location 445","0","severity_type 2",2,2,16,13,1,"feature 312","feature 232",29,2.12132034355964
"11937","location 139","0","severity_type 2",2,6,10,2,1,"feature 312","feature 233",38,3.66969571853944
"11939","location 821","1","severity_type 2",1,4,10,1,1,"feature 82","feature 193",14,4.35889894354067
"11940","location 311","1","severity_type 4",1,2,2,1,1,"feature 312","feature 301",3,0.707106781186548
"11947","location 159","0","severity_type 1",3,7,2,1,1,"feature 219","feature 95",13,0.377964473009227
"11950","location 484","0","severity_type 2",2,7,4,1,1,"feature 312","feature 310",13,1.21498579258791
"11952","location 495","0","severity_type 2",2,15,139,1,1,"feature 232","feature 307",718,41.7934832012748
"11953","location 613","2","severity_type 1",3,2,5,4,1,"feature 71","feature 82",9,0.707106781186548
"11955","location 242","0","severity_type 2",2,3,2,1,1,"feature 234","feature 309",4,0.577350269189626
"11956","location 122","0","severity_type 2",2,5,2,1,1,"feature 233","feature 232",6,0.447213595499958
"11961","location 734","0","severity_type 1",5,12,23,1,2,"feature 82","feature 141",93,6.71666854650699
"11962","location 405","0","severity_type 4",1,3,1,1,1,"feature 313","feature 313",3,0
"11963","location 1098","0","severity_type 1",1,2,45,1,1,"feature 170","feature 207",46,31.1126983722081
"11964","location 638","2","severity_type 1",2,4,16,7,1,"feature 376","feature 283",46,5.19615242270663
"11968","location 1019","0","severity_type 1",2,6,18,1,1,"feature 196","feature 80",46,8.2138095100061
"11969","location 1082","0","severity_type 1",1,1,1,1,1,"feature 161","feature 161",1,NA
"11976","location 1013","0","severity_type 1",3,4,3,1,2,"feature 201","feature 134",7,0.957427107756338
"11978","location 381","0","severity_type 2",2,2,3,3,1,"feature 232","feature 232",6,0
"11979","location 120","0","severity_type 2",2,4,2,1,1,"feature 312","feature 234",6,0.577350269189626
"11990","location 87","2","severity_type 1",1,1,1,1,1,"feature 55","feature 55",1,NA
"11992","location 471","0","severity_type 2",2,2,93,79,1,"feature 232","feature 312",172,9.89949493661167
"11995","location 896","0","severity_type 1",4,7,4,1,1,"feature 291","feature 290",19,1.25356634105602
"12001","location 527","0","severity_type 2",1,1,1,1,1,"feature 181","feature 181",1,NA
"12003","location 655","1","severity_type 1",4,6,6,1,1,"feature 201","feature 2",15,2.34520787991171
"12005","location 850","1","severity_type 1",1,2,3,3,1,"feature 80","feature 80",6,0
"12008","location 118","0","severity_type 2",2,2,13,13,1,"feature 232","feature 232",26,0
"12010","location 405","1","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"12011","location 485","0","severity_type 2",2,2,10,5,1,"feature 312","feature 232",15,3.53553390593274
"12013","location 484","0","severity_type 2",2,5,2,1,1,"feature 309","feature 312",9,0.447213595499958
"12016","location 480","0","severity_type 2",2,4,31,24,1,"feature 230","feature 308",109,3.30403793359983
"12017","location 995","0","severity_type 2",1,3,16,2,1,"feature 82","feature 80",26,7.02376916856849
"12018","location 242","0","severity_type 2",2,2,7,6,1,"feature 312","feature 232",13,0.707106781186548
"12022","location 643","1","severity_type 1",1,2,1,1,1,"feature 289","feature 289",2,0
"12029","location 742","0","severity_type 1",2,1,2,2,1,"feature 80","feature 80",2,NA
"12030","location 707","0","severity_type 1",3,4,3,1,2,"feature 193","feature 276",8,1.15470053837925
"12034","location 707","0","severity_type 2",2,3,8,1,2,"feature 71","feature 193",10,4.04145188432738
"12037","location 151","1","severity_type 1",1,2,1,1,1,"feature 219","feature 219",2,0
"12038","location 349","0","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"12043","location 126","0","severity_type 2",2,6,9,2,1,"feature 233","feature 232",27,3.50713558335004
"12046","location 627","0","severity_type 1",3,3,24,9,2,"feature 75","feature 306",45,7.93725393319377
"12047","location 324","1","severity_type 2",2,5,2,1,1,"feature 308","feature 301",9,0.447213595499958
"12048","location 690","1","severity_type 1",1,4,2,2,1,"feature 195","feature 195",8,0
"12050","location 860","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"12052","location 817","0","severity_type 1",1,1,1,1,1,"feature 134","feature 134",1,NA
"12053","location 881","1","severity_type 1",2,2,1,1,2,"feature 68","feature 68",2,0
"12054","location 825","1","severity_type 1",2,2,6,5,1,"feature 80","feature 201",11,0.707106781186548
